temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
152,26.5851688,28.0213909,26.623127,27.6502686
153,26.5839653,28.017952,26.6585712,27.6600857
154,26.5959206,28.002182,26.6949081,27.655302
155,26.5891171,28.0039158,26.7908134,27.6493454
156,26.5911045,27.9976807,26.8513031,27.6388855
157,26.6038437,27.9986038,26.9058552,27.6285915
158,26.5799332,27.9800091,26.9745102,27.6186905
159,26.5902367,27.9876156,26.9944649,27.6386318
160,26.5820618,27.9889565,26.977169,27.6203403
161,26.5897884,27.9866924,26.9350452,27.6346054
162,26.5879402,28.0004768,26.9100246,27.6508617
163,26.619648,28.0306759,26.8967209,27.6522045
164,26.6179676,28.0428944,26.821455,27.6371002
165,26.6220837,28.0440693,26.7533493,27.6459675
166,26.6107178,28.0441246,26.7255249,27.6442051
167,26.6201801,28.0476761,26.6714382,27.6368217
168,26.6195641,28.0470333,26.5743752,27.6297722
169,26.613657,28.0520649,26.5145416,27.6245136
170,26.616848,28.045187,26.5050507,27.6258011
171,26.6148605,28.052206,26.4693508,27.6169624
172,26.6179123,28.059782,26.4708061,27.6295204
173,26.6123695,28.0446281,26.4778347,27.6164856
174,26.6061821,28.0424194,26.5150471,27.6212692
175,26.615757,28.0320187,26.5232506,27.6171856
176,26.6068268,28.0332775,26.5420094,27.6140251
177,26.5957108,28.0334167,26.5929661,27.6062775
178,26.6121445,28.0273781,26.5181541,27.6119556
179,26.6144123,28.0224838,26.428133,27.6140251
180,26.6146088,28.0191841,26.4459133,27.6307411
181,26.6310883,28.0449162,26.4048901,27.6266575
182,26.6358757,28.0456448,26.3753185,27.6260414
183,26.6310043,28.0459785,26.3893757,27.6252308
184,26.6413631,28.0566597,26.3759918,27.615469
185,26.6347275,28.0611057,26.3643417,27.6204491
186,26.6324596,28.0713654,26.3293934,27.6073017
187,26.6324329,28.0665283,26.3178005,27.6107712
188,26.6310883,28.0781593,26.3202362,27.604002
189,26.6296616,28.0847015,26.3016415,27.6036663
190,26.6274204,28.0878334,26.3188915,27.603611
191,26.626749,28.0779648,26.3547363,27.5940151
192,26.6249847,28.0791664,26.426115,27.5923939
193,26.6273651,28.0818787,26.5359039,27.5846729
194,26.6228294,28.0772381,26.6047516,27.5932617
195,26.6232224,28.0831089,26.6781006,27.5905762
196,26.6213455,28.0921955,26.7185516,27.5922241
197,26.6248455,28.0912724,26.8329849,27.5861549
198,26.6159134,28.0852051,26.9107132,27.6163597
199,26.6467571,28.1170788,27.0393543,27.6046677
200,26.6467018,28.1225586,27.0875454,27.6132832
201,26.6515999,28.1177502,27.0979557,27.6150455
202,26.6365662,28.1299953,27.0965843,27.6166401
203,26.6412697,28.1135006,27.0605392,27.6114655
204,26.6422215,28.1391926,27.0857811,27.6072407
205,26.6421375,28.1346626,27.0656338,27.6092548
206,26.6425018,28.1342716,26.9923096,27.6104298
207,26.6454124,28.1235371,26.9874134,27.6142902
208,26.6396179,28.1321468,27.0315742,27.6045284
209,26.6393108,28.127758,27.0234871,27.6010323
210,26.6369305,28.1276188,27.0166035,27.5991306
211,26.6322269,28.1278133,26.9864616,27.6023178
212,26.6334305,28.1329575,26.8727436,27.5958023
213,26.6352787,28.1259975,26.7834797,27.6036053
214,26.6262074,28.1208801,26.7761745,27.6018715
215,26.6341305,28.1347198,26.8118629,27.5884171
216,26.6221199,28.1336002,26.8728828,27.6267891
217,26.6701164,28.1721859,26.9175854,27.6197128
218,26.6617737,28.1652813,27.0234051,27.6256981
219,26.6493435,28.1724377,26.9370098,27.6290836
220,26.6478024,28.1642742,26.8209915,27.6226768
221,26.6520863,28.1656437,26.7233257,27.6287193
222,26.6500988,28.1562519,26.608572,27.6307335
223,26.6448917,28.1648903,26.472023,27.6243839
224,26.6541023,28.1620102,26.4217339,27.6289158
225,26.6555023,28.1665668,26.3781624,27.616188
226,26.6445274,28.1620941,26.3402176,27.6197968
227,26.6493702,28.1753731,26.2889404,27.6162167
228,26.6494827,28.1546574,26.256258,27.6140347
229,26.6485023,28.1384983,26.2321167,27.6137829
230,26.6558666,28.1407909,26.1859608,27.6181469
